wikiStats|commons

redirects|6036
r|Template:MotdTitle (nl)|Template:Motd/name/nl
r|Template:Wmse-teknikpool/lang|Template:WMSE-teknikpool/lang
r|Template:Wikimedia-t|Template:Wikimedia-user-talkpage
r|Template:TampilanFilm|Template:Fair use
r|Template:Hathi Trust|Template:HathiTrust
r|Template:Fig2SVG|Template:Created with Fig2SVG
r|Template:Bad name/zh|Template:Bad name/zh-hans
r|Template:Crimeayear|Template:Crimea by year
r|Template:Rfdh|Template:DeletionHeader
r|Template:RegionAdjective/fr|Template:Nationality/fr
r|Template:SVG/notify|Template:Please use SVG
r|Template:OTRS permission|Template:PermissionOTRS
r|Template:Ifc|Template:Cleanup image
r|Template:Internationalisation enthusiast|Template:User internationalisation
r|Template:Fake flag/ru|Template:Fake sports logo/ru
r|Template:User Wiki Loves Monuments/es|Template:User Wiki Loves Monuments/i18n/es
r|Template:Ski jumpingyear|Template:Skijumpingyear
r|Template:LargeTIF/limit|Template:LargeTIFF/limit
r|Template:SDS|Template:SeanD'Silva
r|Template:Sommerfest Kinebaum 2013|Template:Sommerfest Kienbaum 2013
r|Template:CombineZM/fr|Template:Created with CombineZM/fr
r|Template:Camera location dec|Template:Location
r|Template:User Wikipedia administrator|Template:User Wikipedia admin
r|Template:FOP-Thailand|Template:FoP-Thailand
r|Template:Haarlem, The cradle of the Golden Age|Template:De Gouden Eeuw begint in Haarlem
r|Template:Chemtool/ja|Template:Created with Chemtool/ja
r|Template:Rembrandt, The Master and his Workshop|Template:Rembrandt, The Master and his Workshop (Copenhagen)
r|Template:Thumb/doc|Template:Other/doc
r|Template:Pd-art|Template:PD-Art
r|Template:TooLarge|Template:LargeImage
r|Template:Vector version available/zh-tw|Template:Vector version available/zh-hant
r|Template:WS|Template:Wikispecies
r|Template:User an-N|Template:User an
r|Template:Userv|Template:Uv
r|Template:SpeedyDelete|Template:Speedydelete
r|Template:Donotworry/zh-cn|Template:Donotworry/zh-hans
r|Template:Oil on wood panel|Template:Oil on panel
r|Template:PD-USGov-DHS-CG|Template:PD-USCG
r|Template:AutumnGermany|Template:Autumn in Germany
r|Template:Wikimedia France - Université Rennes 1/doc|Template:Wikimedia France - Université de Rennes 1/doc
r|Template:Catlist-up|Template:Cms-catlist-up
r|Template:Not-PD-US-FOP|Template:Not-free-US-FOP
r|Template:Be-x-old|Template:Be-tarask
r|Template:Retouched picture/zh|Template:Retouched picture/zh-hans
r|Template:Motd-nl/01-18|Template:Motd/2010-01-18 (nl)
r|Template:See also category|Template:Cat see also
r|Template:PD-NPS|Template:PD-USGov-NPS
r|Template:Outdated|Template:Update
r|Template:ЈВ-Србија-50|Template:PD-Serbia
r|Template:Navigation Churches in Ukraine by color|Template:By color
r|Template:GobiernoEspaña|Template:PD-La Moncloa
r|Template:URL|Template:Url
r|Template:Non-free movie poster|Template:Fair use
r|Template:삭제 신청|Template:Speedydelete
r|Template:Motd-eo/04-30|Template:Motd/2010-04-30 (eo)
r|Template:Superseded-Image|Template:Superseded
r|Template:FlickrReview|Template:Flickrreview
r|Template:User jbo-N|Template:User jbo
r|Template:Prvé kroky tour|Template:First steps tour/sk
r|Template:RFC|Template:Rfc
r|Template:Flickreview|Template:Flickrreview
r|Template:Noticeboard links|Template:Discussion menu
r|Template:User sco-N|Template:User sco
r|Template:PD-US-no-notice|Template:PD-US-no notice
r|Template:Wikipedia-screenshot/zh-hans|Template:Wikimedia-screenshot/zh-hans
r|Template:Wiki Loves Monuments 2012 Europe nominee/ru|Template:Wiki Loves Monuments 2012 international nominee/ru
r|Template:User en-us-n|Template:User en-us
r|Template:Opartisk|Template:Neutral
r|Template:Mugshot|Template:Copyvio
r|Template:CheckRank|Template:CheckSingularLatinRank
r|Template:Created with Adobe Photoshop/doc/pl|Template:Created with Adobe Photoshop/pl
r|Template:Extracted Image|Template:Extracted from
r|Template:Tango project/zh|Template:Tango project/zh-hant
r|Template:Karsi|Template:Oppose
r|Template:User csb-N|Template:User csb
r|Template:RegisSibille|Template:RégisSibille
r|Template:Bild-GFDL-OpenGeoDB|Template:GFDL-OpenGeoDB
r|Template:Common Public License/ku|Template:CPL/ku
r|Template:Pd-Ugglan|Template:PD-Ugglan
r|Template:PD-Jordan-Photo|Template:PD-Jordan
r|Template:Va|Template:Ca
r|Template:GPL-self|Template:GPLv2+
r|Template:Image stack|Template:Imagestack
r|Template:Predicate logic; 2 variables; 3x3 list|Template:Predicate logic; 2 variables; single; 3x3 list
r|Template:UsernameHardBlocked|Template:Inappropriate username
r|Template:VI|Template:Valued image
r|Template:No scaled down duplicates|Template:No scaled down dupes
r|Template:LanguageSelectorNoIcons|Template:LanguageSelectorNoFlags
r|Template:Kopiereg-erkenning|Template:Attribution
r|Template:ValidSVG/zh-hant|Template:Valid SVG/zh-hant
r|Template:Disputed chemical|Template:Disputed chem
r|Template:Translation possible/lang|Template:Translate/lang
r|Template:Cc-by-nc-sa-2.0-dual/layout|Template:GFDL or cc-by-nc-sa-2.0/layout
r|Template:Navigation Gates by color|Template:By color
r|Template:Coor d|Template:Inline coordinates
r|Template:Donetskyear|Template:Donetsk by year
r|Template:Microsoft Paint|Template:Created with Microsoft Paint
r|Template:SOppose|Template:Strong oppose
r|Template:User cy-N|Template:User cy
r|Template:LOC-image/pt|Template:LOC-meta/pt
r|Template:National heritage site in Israel/he|Template:Heritage site in Israel/he
r|Template:Taxon/sandbox/doc|Template:Taxon/doc
r|Template:Navigation Sheep by colour|Template:By color
r|Template:OAL/cs|Template:OAL-1/cs
r|Template:Parlament de Catalunya|Template:Noncommercial
r|Template:Withpermission|Template:Permission
r|Template:FOP/da|Template:FoP/da
r|Template:Citation needed|Template:References missing
r|Template:Laosmonthyear|Template:Monthbyyearlaos
r|Template:Swiss Federal Archive/lang|Template:Swiss Federal Archives/lang
r|Template:Á fabor|Template:Support
r|Template:Flickr review|Template:Flickrreview
r|Template:JavaScript Test|Template:JS-Test
r|Template:Size/Unit|Template:Size/unit
r|Template:ID-USMil/zh|Template:ID-USMil/zh-hans
r|Template:نگاره قدیمی|Template:PD-Iran
r|Template:Don't overwrite|Template:Dont overwrite
r|Template:ManitobaArcDecade|Template:CanadaDecade
r|Template:Cancellare|Template:Vote delete
r|Template:Djvu|Template:DjVu
r|Template:Non-free newspaper image|Template:Fair use
r|Template:RadoslawIdaszak|Template:RadosławIdaszak
r|Template:CoinsYear|Template:Coinsyear
r|Template:Compressed version/en|Template:Compressed version/i18n/en
r|Template:SMK|Template:Statens Museum for Kunst
r|Template:Philately/zh|Template:Philately/zh-hans
r|Template:Member States of the European Union/cs|Template:Member states of the European Union/cs
r|Template:User at wts wikivoyage|Template:User at wikivoyage old
r|Template:SIL Open Font License|Template:OFL
r|Template:Translate/ko|Template:Translate/i18n/ko
r|Template:ГЛСД-без-одрицања|Template:GFDL
r|Template:User autopatroller|Template:User autopatrolled
r|Template:PD-/en|Template:PD-EEA/en
r|Template:Copyrightedfreeuse|Template:Copyrighted free use
r|Template:QualityImage/de|Template:Quality image/de
r|Template:User vec-N|Template:User vec
r|Template:Atamai|Template:Atami
r|Template:Wikipedia user autopatrolled/doc|Template:User Wikipedia autopatrolled/doc
r|Template:M|Template:T
r|Template:Archäologisches Museum Hamburg license CC-BY-SA 3.0/en|Template:Archäologisches Museum Hamburg CC-BY-SA 3.0/en
r|Template:Extract images|Template:Extract image
r|Template:User UA|Template:User Ukraine
r|Template:Mary|Template:Mary (Mother of Jesus)
r|Template:Nie|Template:Oppose
r|Template:Bible Illustrations-license/lang|Template:Bible Illustrations (Sweet Publishing)-license/lang
r|Template:گنو-خود|Template:GFDL-self
r|Template:No license/is|Template:No license since/is
r|Template:Motd-eo/02-16|Template:Motd/2010-02-16 (eo)
r|Template:Wikipedia-screenshot/de|Template:Wikimedia-screenshot/de
r|Template:NYC|Template:New York City
r|Template:ShouldBePNG|Template:Convert to PNG
r|Template:快捷方式|Template:Shortcut
r|Template:TS/gibox|Template:Mbox
r|Template:Do not remove nsd or nld|Template:Dont remove nsd or nld
r|Template:PD Egypt|Template:PD-Egypt
r|Template:User tet-N|Template:User tet
r|Template:Kansikuva|Template:Fair use
r|Template:Sock|Template:Sockpuppet
r|Template:CanHockey/fi|Template:CanadaYear
r|Template:Cleanup image/cs|Template:Cleanup image/i18n/cs
r|Template:Magazinecover|Template:Fair use
r|Template:User zh-min-nan-0|Template:User nan-0
r|Template:No license/zh-hant|Template:No license since/zh-hant
r|Template:CombineZP/de|Template:Created with CombineZP/de
r|Template:Accueil/Entête|Template:Accueil/En-tête
r|Template:FeaturedPicture|Template:Featured picture
r|Template:Владимир КОБЗАРЬ|Template:Vladimir Kobzar
r|Template:Cc-by-nc|Template:Noncommercial
r|Template:Forestry Images|Template:Forestryimages
r|Template:Pd-old-75|Template:PD-old-75
r|Template:Exhibition of drawings and etchings by Rembrandt and etchings by other masters in the British Museum|Template:Guide to an exhibition of drawings and etchings by Rembrandt and etchings by other masters in the British Museum
r|Template:OTRS pending/zh-hk|Template:OTRS pending/zh-hant
r|Template:Foto pessoal|Template:Own
r|Template:PD-US-pre1978|Template:PD-US-no notice
r|Template:Db-copyvio|Template:Copyvio
r|Template:ValidSVG/hu|Template:Valid SVG/hu
r|Template:Motd-kk/03-31|Template:Motd/2010-03-31 (kk)
r|Template:Public Art Vienna/de|Template:Public Art Austria/de
r|Template:PD-US-No notice|Template:PD-US-no notice
r|Template:Nonfreeimage|Template:Fair use
r|Template:Pd-self|Template:PD-self
r|Template:Motd-nl/01-17|Template:Motd/2010-01-17 (nl)
r|Template:PD-ineligible/zh|Template:PD-ineligible/zh-hant
r|Template:User cs-N|Template:User cs
r|Template:EuroparlCopyright|Template:Nonderivative
r|Template:PD-ROC-exempt/zh-sg|Template:PD-ROC-exempt/zh-hans
r|Template:Broken|Template:Broken file
r|Template:PD-USGov-Military-Air Force/zh|Template:PD-USGov-Military-Air Force/zh-hans
r|Template:RetouchedPicture/nds|Template:Retouched picture/nds
r|Template:User admin Wikiquote|Template:User Wikiquote admin
r|Template:Camera location|Template:Location
r|Template:Countdown/it|Template:Countdown/i18n/it
r|Template:PD-BnFMandragorePic|Template:BnFMandragorePic
r|Template:CC BY-NC 2.0|Template:Noncommercial
r|Template:PD-User|Template:PD-user
r|Template:MotdTitle (ga)|Template:Motd/name/ga
r|Template:User ml-N|Template:User ml
r|Template:WLE-AD|Template:Wiki Loves Earth Andorra
r|Template:MoscowOblastyear|Template:Moscow Oblast by year
r|Template:Own Work|Template:Own
r|Template:Dup|Template:Duplicate
r|Template:UV|Template:Uv
r|Template:Clickable button 2/Doku|Template:Clickable button 2/doc
r|Template:UploadStamps|Template:UploadsStamps
r|Template:Grant's Anatomy plate|Template:PD-US-not renewed
r|Template:Badpdf|Template:BadPDF
r|Template:Bollebygd|Template:Bollebygdyear
r|Template:Não|Template:Oppose
r|Template:Bolachenko|Template:Bolashenko
r|Template:Translate/nl|Template:Translate/i18n/nl
r|Template:OAL/de|Template:OAL-1/de
r|Template:Crop|Template:Remove border
r|Template:Languageautotransclude|Template:SimpleAutotranslate
r|Template:Upload campaign header Wiki Loves Earth April/es|Template:Upload campaign header Wiki Loves Earth before/es
r|Template:Wikipedia-screenshot/he|Template:Wikimedia-screenshot/he
r|Template:AltarsCentury|Template:Altars by century
r|Template:DiscontinuationInDecade|Template:DiscontinuationsInDecade
r|Template:Move/ko|Template:Move/i18n/ko
r|Template:Personality rights/zh|Template:Personality rights/zh-hant
r|Template:Tempera auf Holz|Template:Tempera on panel
r|Template:Do not overwrite/he|Template:Dont overwrite/he
r|Template:User ms-N|Template:User ms
r|Template:Közkincs-ismeretlen|Template:PD-HU-unknown
r|Template:First steps tour/zh|Template:First steps tour/zh-hans
r|Template:TooLarge/cs|Template:LargeImage/cs
r|Template:Bild-PD-US|Template:PD-USGov
r|Template:Award2|Template:Wikipedia Award
r|Template:Usuario es-mx|Template:User es-mx
r|Template:CopyrightedFreeUse|Template:Copyrighted free use
r|Template:Christ Crowned with Thorns (Bosch, London)|Template:Christ Crowned with Thorns by Hieronymus Bosch
r|Template:User Wikipedia Admin|Template:User Wikipedia admin
r|Template:Vlag|Template:Flag
r|Template:Created with vim/ja|Template:Created with Vim/ja
r|Template:Bad SVG|Template:BadSVG
r|Template:DONE|Template:Done
r|Template:PD-Latvia|Template:PD-LV-exempt
r|Template:Do not overwrite|Template:Dont overwrite
r|Template:ValidSVG/sv|Template:Valid SVG/sv
r|Template:Aviationyear-PNG|Template:Aviationyear-Papua New Guinea
r|Template:By-nc-nd-2.0|Template:Noncommercial
r|Template:Move/mk|Template:Move/i18n/mk
r|Template:Besancon|Template:Besançon
r|Template:Rijksmuseum|Template:Rijksmuseum Amsterdam
r|Template:Papal Statesyear|Template:Italyyear
r|Template:AerialPhotograph-gsj.go.jp|Template:AerialPhotograph-gsi.go.jp
r|Template:National heritage site in Israel/layout|Template:Heritage site in Israel/layout
r|Template:VICpromoted/en/doc|Template:VICpromoted/doc
r|Template:Vorlage:Bild-CC-by-sa/3.0/de|Template:Cc-by-sa-3.0-de
r|Template:Getty online|Template:Getty Center
r|Template:Polo museale Florence Inv. 1890 online|Template:Polo Museale Fiorentino Inv. 1890 online
r|Template:Getaclass-WMRU/en|Template:Getaclass-WMRU/i18n/en
r|Template:PD-Pre1964|Template:PD-US-not renewed
r|Template:User chr|Template:User chr-N
r|Template:CC BY-SA 2.0|Template:Cc-by-sa-2.0
r|Template:Should be PNG|Template:Convert to PNG
r|Template:Blurred|Template:Blurry
r|Template:Germanyyear-nazi|Template:Germanyyear
r|Template:Cleanup image/eu|Template:Cleanup image/i18n/eu
r|Template:NoFOP-France|Template:NoFoP-France
r|Template:Assessments/image/left|Template:Assessments/images/left
r|Template:نگاره هابل|Template:PD-Hubble
r|Template:PD-Coa-Brazil-1983|Template:PD-BrazilGov
r|Template:Ghent, Belgium|Template:Ghent
r|Template:User fr-N|Template:User fr
r|Template:PowerShot S2 IS|Template:Taken with Canon PowerShot S2 IS
r|Template:Rename/it|Template:Rename/i18n/it
r|Template:User fi-N|Template:User fi
r|Template:FOP-Ireland|Template:FoP-Ireland
r|Template:Wikipedia user file mover/doc|Template:User Wikipedia file mover/doc
r|Template:Landscape Art|Template:Landscape art
r|Template:Provide JPEG version of PNG/en|Template:Provide thumbnail version/en
r|Template:FOP/ja|Template:FoP/ja
r|Template:PD-ROC-exempt/zh-tw|Template:PD-ROC-exempt/zh-hant
r|Template:User MediaWiki|Template:User Translatewiki.net MediaWiki
r|Template:PD Egypt/fr|Template:PD-Egypt/fr
r|Template:PD-Rus-Empire|Template:PD-RusEmpire
r|Template:National heritage site in Israel|Template:Heritage site in Israel
r|Template:Pd-old-80-1923|Template:PD-old-80-1923
r|Template:Template:Wiki Drina biodiversity/en|Template:Wiki Drina biodiversity/en
r|Template:Гфдл|Template:GFDL
r|Template:Gfdl|Template:GFDL
r|Template:AmazingRaceMaps|Template:Amazing Race maps
r|Template:Should be substituted/nds|Template:Must be substituted/nds
r|Template:User UTC 530|Template:User UTC+530
r|Template:DeletionMenu/zh|Template:Deletion menu/zh-hans
r|Template:Hathitrust|Template:HathiTrust
r|Template:Amica|Template:Lunacommons
r|Template:Pd-user-en|Template:PD-user-en
r|Template:Navigation Icons by color|Template:By color
r|Template:Archivebox|Template:Archive box
r|Template:User ltg-N|Template:User ltg
r|Template:CJK stroke order:Team|Template:CJK Stroke Order Project members
r|Template:CC-BY-SA-2.0-DE|Template:Cc-by-sa-2.0-de
r|Template:Pd-old-70-1996|Template:PD-old-70-1996
r|Template:Navigation Tractors by color|Template:By color
r|Template:NHSCopyright|Template:Nonderivative
r|Template:E-420|Template:Taken with Olympus E-420
r|Template:User SUL/de|Template:User SUL/i18n/de
r|Template:TooLarge/da|Template:LargeImage/da
r|Template:User AWB/ro|Template:User AutoWikiBrowser/ro
r|Template:TIGRReptiles family/doc|Template:ReptileDB family/doc
r|Template:EFF OAL|Template:OAL-1
r|Template:Source file please|Template:Source code please
r|Template:Archival version/ru|Template:Archival version/i18n/ru
r|Template:Coalition action against Libya|Template:Other versions/Coalition action against Libya
r|Template:PD-music|Template:PD-old-100
r|Template:No license/pt|Template:No license since/pt
r|Template:RussianEmpireyear|Template:Russian Empire by year
r|Template:GPS-EXIF|Template:GPS EXIF
r|Template:Wikipedia user rollbacker/doc|Template:User Wikipedia rollbacker/doc
r|Template:Spomenik|Template:SpomenikSVN
r|Template:FOP/oc|Template:FoP/oc
r|Template:Aspadana|Template:Isfahan
r|Template:Still-life|Template:Still life
r|Template:PLoS/cs|Template:PLOS/cs
r|Template:Cleanup image/bn|Template:Cleanup image/i18n/bn
r|Template:Wikipedia-screenshot/ru|Template:Wikimedia-screenshot/ru
r|Template:Fredrikshamn|Template:Hamina
r|Template:Vio|Template:Copyvio
r|Template:Navigation Fire engines by color|Template:By color
r|Template:PD-IL|Template:PD-Israel
r|Template:User by-2|Template:User bar-2
r|Template:Ffd|Template:Delete
r|Template:Noderivatives|Template:Nonderivative
r|Template:Other versions/Apple Made for|Template:Other versions/Apple Inc. emblems
r|Template:Hidden cat|Template:Hiddencat
r|Template:Cleanup image/no|Template:Cleanup image/i18n/nb
r|Template:OST|Template:AUT
r|Template:Created with ImageMagick/zh|Template:Created with ImageMagick/zh-hans
r|Template:PD-Coa-Romania|Template:PD-RO-exempt
r|Template:PNG available|Template:SupersededPNG
r|Template:Oldffdfull/doc|Template:Oldffdfull-en/doc
r|Template:Coa Sweden/th|Template:Coa blazon/th
r|Template:SVG-edit|Template:Created with SVG-edit
r|Template:The Kingdom of Denmark imagemap (location map scheme)|Template:Denmark imagemap (location map scheme)
r|Template:Mia|Template:Own
r|Template:Spomenik/en|Template:SpomenikSVN/en
r|Template:Message|Template:Talkback
r|Template:Cc-nc-sa-1.0|Template:Noncommercial
r|Template:Contre|Template:Oppose
r|Template:Predicate logic; 3 variables; ordered partitions; coinciding variables|Template:Predicate logic; 3 variables; single; ordered partitions; coinciding variables
r|Template:Member States of the European Union/eu|Template:Member states of the European Union/eu
r|Template:Synonyms/doc|Template:SN/doc
r|Template:Missing source|Template:Source missing
r|Template:Created with Adobe-hand|Template:Adobe-hand
r|Template:Artwork-markings|Template:Inscription
r|Template:Navigation Benches by color|Template:By color
r|Template:Image-Poor-Quality|Template:Low quality
r|Template:Coat of Arms/en|Template:Coat of arms/en
r|Template:Potdnewp|Template:Picture of the day Nepali Wikipedia
r|Template:Disclaimer Alternate history flags|Template:Fictitious flag
r|Template:POTY/caption/Solenostemon scutellarioides, Jardín Botánico, Múnich, Alemania 2012-04-21, DD 02.JPG|Template:POTY/caption/Pilea involucrata, Jardín Botánico, Múnich, Alemania 2012-04-21, DD 02.jpg
r|Template:Valokuva|Template:Fair use
r|Template:TextSVG|Template:Path text SVG
r|Template:Translate/el|Template:Translate/i18n/el
r|Template:New Potd/2010-05|Template:Potd/2010-05
r|Template:LOC-autotranslate/layout|Template:LOC-meta/layout
r|Template:Cleanup image/zh|Template:Cleanup image/zh-hans
r|Template:Gnumeric|Template:Created with Gnumeric
r|Template:1922 cyc/fin|Template:1922 cyc/fi
r|Template:Place by decade|Template:Places by decade
r|Template:Supported by Wikimedia ES/doc|Template:Supported by Wikimedia España/doc
