wikiStats|mk

redirects|7436
r|Шаблон:WorksInCentury|Шаблон:ДелаВоВек
r|Шаблон:Paleo-bird-stub|Шаблон:Праисториска птица-никулец
r|Шаблон:Митологија-никулец|Шаблон:Мит-никулец
r|Шаблон:Области на Казахстан|Шаблон:Области во Казахстан
r|Шаблон:Composer-stub|Шаблон:Композитор-никулец
r|Шаблон:Држави во Северна Европа|Шаблон:Држави во Европа
r|Шаблон:Country data ITA|Шаблон:Country data Италија
r|Шаблон:Country data Valencian Community|Шаблон:Country data Валенсија
r|Шаблон:Ф постер/doc|Шаблон:Ф плакат/doc
r|Шаблон:СНЕ|Шаблон:СУН
r|Шаблон:Country flag alias Vietnam|Шаблон:Country flag alias Виетнам
r|Шаблон:Infobox shopping mall/doc|Шаблон:Инфокутија Трговски центар/doc
r|Шаблон:Babel-N|Шаблон:Вавилон-N
r|Шаблон:ПозКарта Sweden Skåne|Шаблон:ПозКарта Шведска Сканија
r|Шаблон:ПозКарта Dominican Republic|Шаблон:ПозКарта Доминиканска Република
r|Шаблон:Cities and towns in Cloppenburg (district)|Шаблон:Градови во Клопенбург (округ)
r|Шаблон:Инфокутија за политки|Шаблон:Инфокутија за политика
r|Шаблон:Политики на Киргистан|Шаблон:Политика на Киргистан
r|Шаблон:Otherplaces3|Шаблон:Други места3
r|Шаблон:Country data The Gambia|Шаблон:Country data Гамбија
r|Шаблон:Latvia-stub|Шаблон:Латвија-никулец
r|Шаблон:Contains Chinese text|Шаблон:Кинески текст
r|Шаблон:Sex-stub|Шаблон:Секс-никулец
r|Шаблон:Ве молиме оставете го овој ред ваков како што е|Шаблон:Вовед во Википедија
r|Шаблон:Architecture-stub|Шаблон:Архитектура-никулец
r|Шаблон:Guideline|Шаблон:Напатствие
r|Шаблон:Country flag alias Syria|Шаблон:Country flag alias Сирија
r|Шаблон:Country flag alias Moldova|Шаблон:Country flag alias Молдавија
r|Шаблон:Taxonomy/Корални полипи|Шаблон:Автотаксономија/Корални полипи
r|Шаблон:Infobox Pirate|Шаблон:Инфокутија Пират
r|Шаблон:Code|Шаблон:Код
r|Шаблон:Ms icon|Шаблон:Ms
r|Шаблон:Infobox Latvian municipalities|Шаблон:Инфокутија Општина во Латвија
r|Шаблон:Gpn|Шаблон:GPN
r|Шаблон:Infobox Bus line|Шаблон:Инфокутија Автобуска линија
r|Шаблон:ГФДЛ|Шаблон:ГЛСД
r|Шаблон:Essay-stub|Шаблон:Есеј-никулец
r|Шаблон:Cross|Шаблон:Икс
r|Шаблон:Country data ТПЕ|Шаблон:Country data Кинески Тајпеј
r|Шаблон:Yugoslavia Labelled Map|Шаблон:Означена карта на Југославија
r|Шаблон:Country data Австралиска престолнинска територија|Шаблон:Country data АПТ
r|Шаблон:IIHFnation|Шаблон:Инфокутија Хокеарска федерација
r|Шаблон:Catholic Encyclopedia|Шаблон:Католичка
r|Шаблон:BE-PROV-NM|Шаблон:BE-WNA
r|Шаблон:Country flag alias New Zealand|Шаблон:Country flag alias Нов Зеланд
r|Шаблон:Инфокутија јазик|Шаблон:Infobox Language
r|Шаблон:Вавилон-9|Шаблон:Б. Јанкулоски
r|Шаблон:New Zealand universities|Шаблон:Новозеландски универзитети
r|Шаблон:Infobox Olympic games|Шаблон:Олимпијада
r|Шаблон:Археологија-никулец|Шаблон:Архео-никулец
r|Шаблон:Reflist/doc|Шаблон:Наводи/doc
r|Шаблон:Франсуски монарси|Шаблон:Француски монарси
r|Шаблон:ПозКарта Europe|Шаблон:ПозКарта Европа
r|Шаблон:Аристотелијанизам|Шаблон:Аристотелијанство
r|Шаблон:Country data БОЦ|Шаблон:Country data Боцвана
r|Шаблон:Location map China|Шаблон:ПозКарта Кина
r|Шаблон:Country data БУР|Шаблон:Country data Бурунди
r|Шаблон:Districts of Israel|Шаблон:Окрузи во Израел
r|Шаблон:User de-2|Шаблон:Корисник de-2
r|Шаблон:Opera-stub|Шаблон:Опера-никулец
r|Шаблон:Element cell/id2shyphen-name|Шаблон:Елемент-ќелија/id2shyphen-name
r|Шаблон:Factbook|Шаблон:Светска книга на факти
r|Шаблон:Категорија-повеќе|Шаблон:Катпов
r|Шаблон:Structure-stub|Шаблон:Градба-никулец
r|Шаблон:Infobox civil conflict/color|Шаблон:Инфокутија Граѓански немири/color
r|Шаблон:Автотаксономија/Хордати|Шаблон:Автотаксономија/Хордови
r|Шаблон:ПозКарта South Korea|Шаблон:ПозКарта Јужна Кореја
r|Шаблон:Allmusicguide|Шаблон:Allmusic
r|Шаблон:Taxonomy/Амниоти|Шаблон:Автотаксономија/Амниоти
r|Шаблон:Градови во Алтенбургер Ланд (округ)|Шаблон:Градови во Алтенбург (округ)
r|Шаблон:Мала буква|Шаблон:Малабуква
r|Шаблон:Provinces and regions of Panama|Шаблон:Покраини и области во Панама
r|Шаблон:Decrease|Шаблон:Пад
r|Шаблон:Централна Македонија (периферија)|Шаблон:Централна Македонија (Грција)
r|Шаблон:Non-free fair use rationale|Шаблон:Образложение за неслободна употреба
r|Шаблон:Country data IRI|Шаблон:Country data Иран
r|Шаблон:Country data France|Шаблон:Country data Франција
r|Шаблон:Infobox artifact|Шаблон:Инфокутија Артефакт
r|Шаблон:ВПМПЦ|Шаблон:ВикиПроект МПЦ
r|Шаблон:Населени места во Општина Јегуновце|Шаблон:Општина Јегуновце
r|Шаблон:Country data United Arab Republic|Шаблон:Country data Обединета Арапска Република
r|Шаблон:The Sun|Шаблон:Сонце
r|Шаблон:Monaco-stub|Шаблон:Монако-никулец
r|Шаблон:IRL|Шаблон:ИРС
r|Шаблон:Cat|Шаблон:Кат
r|Шаблон:Unbulleted list|Шаблон:Список без потточки
r|Шаблон:Rating/doc|Шаблон:Оценка/doc
r|Шаблон:User uk-4|Шаблон:Корисник uk-4
r|Шаблон:Astroobjyearcat|Шаблон:Астрообјгодинакат
r|Шаблон:Држави и територии на Јужна Америка|Шаблон:Држави и територии во Америка
r|Шаблон:Country flag2|Шаблон:Знаме/core
r|Шаблон:Јазичка икона/doc|Шаблон:Јазична икона/doc
r|Шаблон:Elementary arithmetic|Шаблон:Елементарна аритметика
r|Шаблон:ПозКарта Paris|Шаблон:ПозКарта Франција Париз
r|Шаблон:Taxonomy/Хоминини (потфамилија)|Шаблон:Автотаксономија/Хоминини (потфамилија)
r|Шаблон:Country data Lorraine|Шаблон:Country data Лорена
r|Шаблон:Get regnum/1|Шаблон:Get regnum/1/sandbox
r|Шаблон:ГРЧ|Шаблон:ГРЦ
r|Шаблон:Country data Congo|Шаблон:Country data Конго
r|Шаблон:Chinese calendar/day/78/29|Шаблон:Кинески календар/ден/78/29
r|Шаблон:Country data НЗЛ|Шаблон:Country data Нов Зеланд
r|Шаблон:Norway-geo-stub|Шаблон:Норвешка-гео-никулец
r|Шаблон:Country data Hawaii|Шаблон:Country data Хаваи
r|Шаблон:Empty cat|Шаблон:Празна категорија
r|Шаблон:Hy icon|Шаблон:Hy
r|Шаблон:Инфокутија за Научник|Шаблон:Инфокутија Научник
r|Шаблон:Шкотска грофовија|Шаблон:Инфокутија Шкотска грофовија
