wikiStats|id

redirects|8744
r|Templat:HariIniDalamSejarah/25 November|Templat:Hari Ini Dalam Sejarah/November
r|Templat:Arondisemen di Charente|Templat:Charente
r|Templat:Subscription|Templat:Subscription required
r|Templat:Infobox mountain/main|Templat:Infobox Gunung/main
r|Templat:McDonnel Douglas MD-82|Templat:McDonnell Douglas MD-82
r|Templat:Nyuwatan, Kutai Barat|Templat:Nyuatan, Kutai Barat
r|Templat:Major information technology companies|Templat:Perusahaan teknologi informasi besar
r|Templat:Industri otomotif Jepang|Templat:Industri mobil Jepang
r|Templat:Fb team Persisos South Sorong|Templat:Fb team Persisos Sorong Selatan
r|Templat:Wad|Templat:WAD
r|Templat:Calcio Lazio|Templat:Fb team Lazio
r|Templat:Sex dan hukum|Templat:Seks dan hukum
r|Templat:Wppma/doc|Templat:WPPMA/doc
r|Templat:Infobox network|Templat:Infobox Network
r|Templat:Kabupaten Nye, Nevada|Templat:Nye County, Nevada
r|Templat:ROM|Templat:ROU
r|Templat:Infobox Korean province|Templat:Infobox korea
r|Templat:IMDb award|Templat:Imdb award
r|Templat:County di as|Templat:County di AS
r|Templat:Country data Pardubice Region|Templat:Country data Daerah Pardubice
r|Templat:Komune di Bas-Rhin|Templat:Bas-Rhin
r|Templat:User film|Templat:Pengguna film
r|Templat:Peta lokasi Prefektur Gunma|Templat:Peta lokasi Gunma
r|Templat:MdsndreamChar|Templat:Karakter Impian di Tengah Musim
r|Templat:MalPM|Templat:Perdana Menteri Malaysia
r|Templat:Convert/LoffAoffDbSoffNa|Templat:Convert/LoffAoffDbSoff
r|Templat:Sistem operasi telepon genggam|Templat:Sistem operasi perangkat bergerak
r|Templat:Infobox Women's Football World Cup|Templat:Kotak info kompetisi sepak bola internasional
r|Templat:Country data Hong Kong, Tiongkok|Templat:Country data Hong Kong
r|Templat:Afrika Selatan-stub|Templat:AfrikaSelatan-stub
r|Templat:Pengguna scorpio|Templat:Pengguna Scorpio
r|Templat:Barbour County, Alabama|Templat:County Barbour, Alabama
r|Templat:Navigation|Templat:Navbox
r|Templat:Country data Iceland|Templat:Country data Islandia
