wikiStats|et

redirects|447
r|Mall:Birth date|Mall:Sünniaeg
r|Mall:ISE|Mall:Ise
r|Mall:Tantsupeo info|Mall:Laulupeo info
r|Mall:End date|Mall:Lõppaeg
r|Mall:Infokast WRC sõitja|Mall:Infokast autorallisõitja
r|Mall:Babel-10|Mall:Babel
r|Mall:HA number|Mall:Heade artiklite arv
r|Mall:Nobelkirjandus|Mall:NobelKirjandus
r|Mall:Mtc|Mall:VikiCommonsisse
r|Mall:Tl|Mall:Malli näide
r|Mall:Documentation, template|Mall:Dokumentatsioon
r|Mall:Infobox Pope|Mall:Paavst
r|Mall:Kkr|Mall:Keskkonnaregister
r|Mall:Lääne-Flandria linnad|Mall:Lääne-Flandria vallad
r|Mall:Riik/Moldova Vabariik/lipp|Mall:Riik/Moldova/lipp
r|Mall:HOref|Mall:NLref
r|Mall:PD-self|Mall:AO-ise
r|Mall:Pikemalt|Mall:Vaata
r|Mall:Kasutaja:Skype|Mall:Skype
r|Mall:Riik/Taiwan/vapp|Mall:Riik/Hiina Vabariik/vapp
r|Mall:Optional|Mall:Valikuline
r|Mall:Kasutaja:Ajalugu|Mall:Kasutaja:Arheoloogia
r|Mall:Round4|Mall:Turniiritabel4
r|Mall:Esitaja MusicBrainzis|Mall:MusicBrainz nimi
r|Mall:Template doc page viewed directly|Mall:Dokumentatsiooni alamleht
r|Mall:Infobox Ülikool|Mall:Infokast ülikool
r|Mall:A-lubatud|Mall:Lubatud
r|Mall:Keskkond|Mall:Keskkonnaregister
r|Mall:Raadiojaama infobox|Mall:Infokast raadiojaam
r|Mall:Riik/Mikroneesia Liiduriigid/lipp|Mall:Riik/Mikroneesia/lipp
r|Mall:Mereportaali päis vee-elu|Mall:Mereportaali päis
r|Mall:Endash|Mall:Ndash
r|Mall:Infobox floorball club/doc|Mall:Infokast saalihoki klubi/doc
r|Mall:Tnavbar|Mall:Navbar
r|Mall:Seoul|Mall:Soul
r|Mall:Image label begin|Mall:Pildi algus
r|Mall:Documentation|Mall:Dokumentatsioon
r|Mall:Nobelmajandus|Mall:NobelMajandus
