wikiStats|tr

redirects|8394
r|Şablon:Şilili-taslak|Şablon:Şilili-biyo-taslak
r|Şablon:Eurovision Şarkı Yarışması|Şablon:Eurovision
r|Şablon:Silahlı örgüt bilgi kutusu/doc|Şablon:Silahlı örgüt bilgi kutusu/belge
r|Şablon:Katbak|Şablon:Kategori ayrıca
r|Şablon:TV sezon bilgi kutusu/belge|Şablon:Televizyon sezonu bilgi kutusu/belge
r|Şablon:Ada bilgi kutusu/doc|Şablon:Ada bilgi kutusu/belge
r|Şablon:Ülke veri Syria|Şablon:Ülke veri Suriye
r|Şablon:Kk icon|Şablon:Kk
r|Şablon:Paraguay-futbolcu-taslak|Şablon:Paraguaylı futbolcu-taslak
r|Şablon:Lang-so|Şablon:Dil-so
r|Şablon:ABD-biyo-taslak|Şablon:ABD'li-biyo-taslak
r|Şablon:Ülke veri kanada|Şablon:Ülke veri Kanada
r|Şablon:Hidden begin/doc|Şablon:Hidden begin/belge
r|Şablon:1972 Yaz Olimpiyatları'ndaki sporlar|Şablon:1972 Yaz Olimpiyatları'nda sporlar
r|Şablon:GSR/July 2, 2010|Şablon:GSR koruma/2010-07-02
r|Şablon:Lang-ti|Şablon:Dil-ti
r|Şablon:Kategori taşıma|Şablon:Kategori yönlendirme
r|Şablon:Медаль В ознаменование 100-летия со дня рождения Владимира Ильича Ленина|Şablon:V.İ. Lenin 100. doğum yıldönümü
r|Şablon:Safevi Hanedanı soy ağacı|Şablon:Safevî Hanedanı soy ağacı
r|Şablon:Country data RSA|Şablon:Ülke veri Güney Afrika
r|Şablon:Unsigned|Şablon:İmzasız
r|Şablon:GSR/February 22, 2014|Şablon:GSR koruma/2014-02-22
r|Şablon:Ülke veri CHE|Şablon:Ülke veri İsviçre
r|Şablon:Lang-bs|Şablon:Dil-bs
r|Şablon:Kullanıcı Değişiklik sayısı|Şablon:Kullanıcı değişiklik sayısı
r|Şablon:Half Life serisi|Şablon:Half-Life serisi
r|Şablon:SAK|Şablon:Sorunlu adil kullanım
r|Şablon:Kullanıcı sondegisiklikler|Şablon:Kullanıcı SD
r|Şablon:Nasyonal Sosyalizm|Şablon:Nasyonal sosyalizm
r|Şablon:Kullanıcı Bilkent|Şablon:Kullanıcı Bilkent Üniversitesi
r|Şablon:Ülke data Irak|Şablon:Ülke veri Irak
r|Şablon:Country data Kosta Rika|Şablon:Ülke veri Kosta Rika
r|Şablon:Ülke veri SAM|Şablon:Ülke veri Samoa
r|Şablon:Ülke veri FRO|Şablon:Ülke veri Faroe Adaları
r|Şablon:BMye yazarlık|Şablon:BMye katkı
r|Şablon:Endonezya-biyo-taslak|Şablon:Endonez-biyo-taslak
r|Şablon:ABD'li-sporcu-taslak|Şablon:ABD'li sporcu-taslak
r|Şablon:Kanadalı-oyuncu-taslak|Şablon:Kanadalı oyuncu-taslak
r|Şablon:Berdeskan şehristanı|Şablon:Berdesken şehristanı
r|Şablon:Editör Barnstarı|Şablon:Editör yıldızı
r|Şablon:Ülke veri isveç|Şablon:Ülke veri İsveç
r|Şablon:Time ago/core|Şablon:Geçen zaman/core
r|Şablon:Nakadeh şehristanı|Şablon:Nekede şehristanı
r|Şablon:Ülke veri Chad|Şablon:Ülke veri Çad
r|Şablon:Fetret Devri muharebeleri|Şablon:Fetret Devri muharebeleri kutusu
r|Şablon:Beninli-futbolcu-taslak|Şablon:Beninli futbolcu-taslak
r|Şablon:GSR/January 20, 2014|Şablon:GSR koruma/2014-01-20
r|Şablon:Kangan şehristanı|Şablon:Kengan şehristanı
r|Şablon:Bilim insanı bilgi kutusu|Şablon:Bilim adamı bilgi kutusu
r|Şablon:Hu|Şablon:Hu icon
r|Şablon:Erkekler 5000 metre dünya şampiyonları|Şablon:Erkekler 5000 m dünya şampiyonları
r|Şablon:Avenged sevenfold|Şablon:Avenged Sevenfold
r|Şablon:Aksaray Gülağaç İlçesi Kasaba ve Köyleri|Şablon:Gülağaç belde ve köyleri
r|Şablon:Citenewsgroup|Şablon:Haber grubu kaynağı
r|Şablon:Avusturyalı-taslak|Şablon:Avusturyalı-biyo-taslak
r|Şablon:Ülke veri Great Britain|Şablon:Ülke veri Büyük Britanya
r|Şablon:DVD-kapak|Şablon:Video kaset kapağı adil kullanım
r|Şablon:Kızardım|Şablon:*$
r|Şablon:Медаль За отличие в охране государственной границы|Şablon:SSCB sınırlarının korunmasında üstün hizmet madalyası
r|Şablon:Kıbrıs Cumhuriyeti'nin idari yapılanması|Şablon:Kıbrıs Cumhuriyeti'nin en üst düzey idari birimleri
r|Şablon:Simpsonlar karakteri/doc|Şablon:Simpsonlar karakteri/belge
r|Şablon:Shortcut|Şablon:Kısayol
r|Şablon:Logo-Hqfl|Şablon:Logo adil kullanım
r|Şablon:Ortaca beldeleri ve köyleri|Şablon:Ortaca belde ve köyleri
r|Şablon:Lang-ady|Şablon:Dil-ady
r|Şablon:Ülke veri URU|Şablon:Ülke veri Uruguay
r|Şablon:Country data Bulgaristan|Şablon:Ülke veri Bulgaristan
r|Şablon:HistoricPhoto|Şablon:Tarihi görüntü adil kullanım
r|Şablon:Kullanıcı DAÜ|Şablon:Kullanıcı Doğu Akdeniz Üniversitesi
r|Şablon:KM-ABDHük.-MHÖ-DBK|Şablon:KM-ABDHük.-CIA-WF
r|Şablon:Portal/Resimler/I. dünya savaşı|Şablon:Portal/Resimler/I dünya savaşı
r|Şablon:Ülke veri Fildişi sahilleri|Şablon:Ülke veri Fildişi Sahili
r|Şablon:Armutlu belde ve köyleri|Şablon:Armutlu köyleri
r|Şablon:Basın duyurusu kaynağı|Şablon:Basın açıklaması kaynağı
r|Şablon:Besindeğeri|Şablon:Besin değeri
r|Şablon:Türk tarihi-taslak|Şablon:Türk-tarihi-taslak
r|Şablon:AIK Footboll kadrosu|Şablon:AIK Fotboll kadrosu
r|Şablon:Fb team Metalist Harkiv|Şablon:Fb team Metalist Kharkiv
r|Şablon:Beninli futbolcu-kişi-taslak|Şablon:Beninli futbolcu-taslak
r|Şablon:POTD row|Şablon:GSR kutu
r|Şablon:Sistemik önyargı - devlet/doc|Şablon:Sistemik yanlılık - devlet/belge
r|Şablon:Kıta/doc|Şablon:Kıta bilgi kutusu/belge
r|Şablon:Küçükçekmece mahalleler|Şablon:Küçükçekmece
r|Şablon:NPOV0-n|Şablon:İhlal-n
r|Şablon:TOC right|Şablon:TOC sağ
r|Şablon:Hastaneler|Şablon:Hastane bilgi kutusu
r|Şablon:Arjantin film-taslak|Şablon:Arjantin-film-taslak
r|Şablon:Location map East Timor|Şablon:Doğu Timor konum haritası
r|Şablon:Çalışma var/doc|Şablon:Çalışma/belge
r|Şablon:Hak teorileri|Şablon:Haklar kenar çubuğu
r|Şablon:Countyrow/doc|Şablon:Countyrow/belge
r|Şablon:Yön kutusu sanatçı/doc|Şablon:Sanatçı dolaşım kutusu/belge
r|Şablon:Sö-din|Şablon:Sistemik yanlılık - din
r|Şablon:Türkiye'de siyaset-taslak|Şablon:Türkiye-siyaset-taslak
r|Şablon:Türk halklarının bulunduğu ülke ve bölgeler/doc|Şablon:Türk halkları'nın bulunduğu ülke ve bölgeler/doc
r|Şablon:Ülke veri India|Şablon:Ülke veri Hindistan
r|Şablon:Ülke veri Isle of Wight|Şablon:Ülke veri Wight Adası
r|Şablon:Kullanıcı 67|Şablon:Kullanıcı Zonguldak
r|Şablon:Güneşdışı gezegen bilgi kutusu|Şablon:Güneş dışı gezegen bilgi kutusu
r|Şablon:Kamerunlu-taslak|Şablon:Kamerunlu-biyo-taslak
r|Şablon:1949 NBA Draftı|Şablon:1949 BAA Seçmeleri
r|Şablon:GSR/February 25, 2014|Şablon:GSR koruma/2014-02-25
r|Şablon:Медаль 60 лет Победы в Великой Отечественной войне 1941—1945|Şablon:Büyük Vatanseverlik Savaşı 60. yıldönümü
r|Şablon:Non-free use rationale 2|Şablon:Adil kullanım gerekçesi 2
r|Şablon:Fin-müzik-grubu-taslak|Şablon:Finlandiya-müzik-grubu-taslak
r|Şablon:ICD-10 (A02) Diğer Salmonella enfeksiyonları|Şablon:ICD-10, A02: Diğer Salmonella enfeksiyonları
r|Şablon:Helpbox/doc|Şablon:Helpbox/belge
