wikiStats|fr

redirects|11730
r|Modèle:User sr-1|Modèle:Utilisateur sr-1
r|Modèle:Palette Football aux îles Vierges britanniques|Modèle:Palette Football aux Îles Vierges britanniques
r|Modèle:Country data Biélorussie (1991)|Modèle:Country data République populaire biélorusse
r|Modèle:User gv|Modèle:Utilisateur gv
r|Modèle:Aide création sans source/Documentation|Modèle:Aide création non vérifiable/Documentation
r|Modèle:Bienvenue copyvio 3|Modèle:Bienvenue Copyvio 3
r|Modèle:Utilisateur administrateur|Modèle:Utilisateur Wikipédia:Administrateur
r|Modèle:Country data IL|Modèle:Country data Israël
r|Modèle:Gold Book|Modèle:GoldBook
r|Modèle:Bus Optile/Seine et Marne express/couleur texte/Documentation|Modèle:Bus Optile/défaut/couleur texte/Documentation
r|Modèle:Projet 77|Modèle:Catégorie Seine-et-Marne
r|Modèle:Utilisateur pompier|Modèle:Utilisateur Pompier
r|Modèle:Pseudo-redirection|Modèle:Redirection douce
r|Modèle:Utilisateur explorateur|Modèle:Utilisateur rêve explorateur
r|Modèle:Portail Modélisme|Modèle:Portail modélisme
r|Modèle:Portail politiques sociales françaises|Modèle:Portail politique sociale
r|Modèle:Manga mag/Année/Documentation|Modèle:Manga mag/Documentation
r|Modèle:Utilisateur esial|Modèle:Utilisateur ESIAL
r|Modèle:Portail virus|Modèle:Portail virologie
r|Modèle:Politique de l'Iran|Modèle:PolitiqueIran
r|Modèle:Portail des arts|Modèle:Portail arts
r|Modèle:Palette Coupe du monde B de combiné nordique|Modèle:Palette Coupe continentale de combiné nordique
r|Modèle:Country data Serbia & Montenegro|Modèle:Country data Serbie-et-Monténégro
r|Modèle:Country data Lithuania|Modèle:Country data Lituanie
r|Modèle:Lignes stas|Modèle:Semistas/couleur fond
r|Modèle:Portail Plantes utiles|Modèle:Portail plantes utiles
r|Modèle:CZS|Modèle:Tchécoslovaquie
r|Modèle:Palette Catastrophe en Belgique|Modèle:Palette Catastrophes en Belgique
r|Modèle:Votefusionner|Modèle:VoteFusionner
r|Modèle:EE|Modèle:Estonie
r|Modèle:Tableau MH/en-tête/Documentation|Modèle:En-tête de tableau MH/Documentation
r|Modèle:Ébauche/paramètres volcanologie|Modèle:Ébauche/paramètres volcanisme
r|Modèle:Utilisateur Projet/Football belge|Modèle:Utilisateur Projet/Football/Football belge
r|Modèle:Ébauche/paramètres Modèle|Modèle:Ébauche/paramètres modèle
r|Modèle:Ébauche/paramètres Paquebot|Modèle:Ébauche/paramètres paquebot
r|Modèle:Portail Laval|Modèle:Portail Laval (Québec)
r|Modèle:Portail Bicyclette|Modèle:Portail bicyclette
r|Modèle:SMN|Modèle:AASSE
r|Modèle:Palette Lauréats du Prix Mystère de la Critique - Prix du meilleur roman étranger|Modèle:Palette Lauréats du prix Mystère de la critique : prix du meilleur roman étranger
r|Modèle:Utilisateur Mesnard-la-Barotière|Modèle:Utilisateur habite Mesnard-la-Barotière
r|Modèle:Catégorie Préfecture de Wakayama|Modèle:Catégorie préfecture de Wakayama
r|Modèle:Dernière version stable/GNU Electric|Modèle:Dernière version stable/Electric (logiciel)
r|Modèle:Portail Forces armées des États-Unis|Modèle:Portail forces armées des États-Unis
r|Modèle:Portail Soul|Modèle:Portail soul et funk
r|Modèle:Utilisateur Portail:Tarn-et-Garonne|Modèle:Utilisateur Projet/Tarn-et-Garonne
r|Modèle:Pentathlon moderne aux Jeux olympiques d'été de 2012|Modèle:Infobox Pentathlon moderne aux Jeux olympiques d'été de 2012
r|Modèle:Portail Prison|Modèle:Portail prison
r|Modèle:CY|Modèle:Chypre
r|Modèle:Déco CG14-18PA|Modèle:Déco Croix de guerre 1914-1918, palme d'argent
r|Modèle:User hy-1|Modèle:Utilisateur hy-1
r|Modèle:Élection législative iranienne 2004|Modèle:Élections législatives iraniennes de 2004
r|Modèle:Catégorie années 1070|Modèle:Catégorie Moyen Âge
r|Modèle:PL|Modèle:Pologne
r|Modèle:Ok|Modèle:OK
r|Modèle:Comment ?|Modèle:Comment
r|Modèle:Country data Cape Verde|Modèle:Country data Cap-Vert
r|Modèle:Portail Radio|Modèle:Portail radio
r|Modèle:Élément/Untriquadium|Modèle:Infobox Élément/Untriquadium
r|Modèle:Ligne de Paris-Montparnasse à Brest|Schéma de la ligne de Paris-Montparnasse à Brest
r|Modèle:Ébauche/paramètres ponts|Modèle:Ébauche/paramètres pont
r|Modèle:User nap-*|Modèle:Utilisateur nap-*
r|Modèle:Utilisateur Université Droit et Santé LILLE II|Modèle:Utilisateur Faculté de Droit LILLE II
r|Modèle:Portail Baseball|Modèle:Portail baseball
r|Modèle:Catégorie Phares|Modèle:Catégorie phares
r|Modèle:Utilisateur impôt juste|Modèle:Utilisateur Impôts justes
r|Modèle:User bg|Modèle:Utilisateur bg
r|Modèle:Catégorie années 1200|Modèle:Catégorie Moyen Âge
r|Modèle:SAU|Modèle:Arabie saoudite
r|Modèle:MYS|Modèle:Malaisie
r|Modèle:VinoDOC|Modèle:Infobox VinoDOC
r|Modèle:Country data AUS|Modèle:Country data Australie
r|Modèle:HUN (1949-1956)|Modèle:Hongrie (1949-1956)
r|Modèle:User cr-0|Modèle:Utilisateur cr-0
r|Modèle:Ébauche/paramètres Poésie|Modèle:Ébauche/paramètres poésie
r|Modèle:Bus Optile/Phébus/couleur fond/Documentation|Modèle:Bus Optile/défaut/couleur fond/Documentation
r|Modèle:Ébauche/paramètres géo Mex|Modèle:Ébauche/paramètres géographie du Mexique
r|Modèle:Catégorie Années 1830|Modèle:Catégorie XIXe siècle
r|Modèle:Utilisateur administrateur/es|Modèle:Utilisateur Wikipédia:Administrateur/es
r|Modèle:Portail Préfecture de Saga|Modèle:Portail préfecture de Saga
r|Modèle:Ébauche/paramètres Dessinateur|Modèle:Ébauche/paramètres dessinateur
r|Modèle:Country data Republique de Chine|Modèle:Country data Taïwan
r|Modèle:Country data GRE|Modèle:Country data Grèce
r|Modèle:Bus RATP/correspondances nombreuses|Modèle:Bus RATP/correspondances
r|Modèle:Country data Iraq|Modèle:Country data Irak
r|Modèle:Vol|Modèle:Vol.
r|Modèle:User ilo-2|Modèle:Utilisateur ilo-2
r|Modèle:Palette Namco Bandai|Modèle:Palette Bandai Namco
r|Modèle:User or-3|Modèle:Utilisateur or-3
r|Modèle:Utilisateur maçonnologie et franc-maçonnerie|Modèle:Utilisateur maçonnologie
r|Modèle:Proposé à la suppression|Modèle:Suppression
r|Modèle:User et-*|Modèle:Utilisateur et-*
r|Modèle:User li-1|Modèle:Utilisateur li-1
r|Modèle:Caroline du Nord (drapeau)|Modèle:Caroline du Nord
r|Modèle:Navigation générale|Modèle:Palette Navigation générale
r|Modèle:Utilisateur Drancy|Modèle:Utilisateur habite Drancy
